Date,ALUA.BA Close,BBAR.BA Close,BMA.BA Close,BYMA.BA Close,CEPU.BA Close,COME.BA Close,CRES.BA Close,CVH.BA Close,EDN.BA Close,GGAL.BA Close,LOMA.BA Close,MIRG.BA Close,PAMP.BA Close,SUPV.BA Close,TECO2.BA Close,TGNO4.BA Close,TGSU2.BA Close,TRAN.BA Close,TXAR.BA Close,VALO.BA Close,YPFD.BA Close
2020-01-02,32.0,142.05,210.4,31.48,34.65,1.82,50.5,323.5,22.7,123.0,116.45,765.5,48.25,55.05,163.9,40.55,105.9,25.35,13.85,13.55,837.85
2020-01-03,30.2,142.05,208.31,31.28,32.4,1.75,49.65,319.0,21.75,120.8,115.1,782.0,48.45,54.4,163.45,39.85,105.8,24.95,13.85,13.65,841.6
2020-01-06,30.9,142.05,214.64,30.83,33.95,1.82,50.65,324.5,22.95,124.9,117.55,809.0,48.4,56.4,167.7,40.95,107.5,26.05,13.85,14.4,860.8
2020-01-07,30.7,142.05,211.75,30.83,33.65,1.78,51.9,312.5,22.75,124.0,115.5,818.0,47.55,54.4,168.15,41.65,108.15,26.5,13.85,14.9,837.9
2020-01-08,29.9,142.05,215.26,29.74,33.0,1.74,49.85,320.0,22.5,125.9,114.0,805.0,46.2,54.2,170.35,41.75,106.2,26.2,13.85,15.3,843.3
2020-01-09,29.45,142.05,222.93,30.08,35.1,1.79,49.55,320.0,22.95,130.35,116.85,822.0,48.2,57.45,171.8,41.6,109.6,26.5,13.85,15.6,853.95
2020-01-10,29.15,142.05,226.18,30.23,35.5,1.91,51.45,357.0,23.45,133.95,117.2,870.0,48.35,59.7,175.0,43.15,112.1,26.1,13.85,15.8,858.05
2020-01-13,29.0,142.05,218.5,29.83,35.1,2.0,53.0,378.0,23.6,127.25,114.5,906.0,47.5,57.35,179.2,44.4,110.5,26.15,13.85,15.9,852.65
2020-01-14,31.4,142.05,211.98,29.09,33.75,2.01,50.65,376.0,23.15,125.65,115.5,946.5,46.05,55.45,184.2,43.55,105.65,25.05,13.85,15.3,852.85
2020-01-15,32.7,142.05,203.41,28.84,32.3,2.05,51.75,396.5,22.85,122.15,115.25,964.5,46.4,53.1,179.95,43.5,106.5,25.35,13.85,14.7,855.8
2020-01-16,34.8,142.05,209.08,29.54,33.45,2.13,51.55,423.0,23.25,125.9,119.15,975.0,46.9,55.0,182.5,43.3,109.55,27.75,13.85,14.9,860.2
2020-01-17,33.5,142.05,206.0,30.28,33.2,2.06,50.15,426.0,23.7,126.4,119.75,972.0,48.4,54.2,189.95,44.65,110.6,29.65,13.85,14.35,829.8
2020-01-20,33.45,142.05,213.6,30.28,34.15,2.12,51.0,418.5,24.7,128.1,122.0,950.5,49.3,55.65,195.0,44.8,108.9,30.75,13.85,14.5,853.25
2020-01-21,33.3,142.05,204.84,30.38,32.1,2.06,49.25,397.5,23.4,123.7,119.35,905.0,46.8,53.05,192.75,42.95,106.05,29.7,13.85,14.45,810.2
2020-01-22,32.5,142.05,212.32,30.13,33.1,2.07,50.55,395.0,23.55,124.6,119.7,890.0,48.35,53.65,191.5,44.3,106.05,30.0,13.85,14.4,825.45
2020-01-23,33.0,142.05,204.53,29.64,31.8,2.03,51.25,395.5,23.15,121.4,117.9,872.0,46.55,52.7,190.4,43.5,105.15,30.2,13.85,14.85,810.2
2020-01-24,33.05,142.05,194.54,29.14,30.65,1.97,51.1,374.5,22.15,117.25,118.15,824.5,45.0,50.95,191.3,40.65,103.5,28.65,13.85,14.3,796.4
2020-01-27,34.7,142.05,191.8,28.09,32.0,1.89,49.3,359.0,21.7,114.7,117.65,780.0,45.0,49.4,189.4,39.2,103.85,28.15,13.85,13.5,794.25
2020-01-28,34.65,142.05,203.87,29.19,33.15,1.94,51.4,380.5,22.95,121.9,122.0,825.0,46.6,52.1,191.0,40.2,104.25,29.5,13.85,14.1,795.55
2020-01-29,33.1,142.05,202.95,29.09,32.4,1.95,50.5,374.5,22.85,122.4,117.0,836.5,45.2,51.05,188.6,40.05,103.45,28.75,13.85,14.1,798.4
2020-01-30,32.55,142.05,203.45,27.4,32.2,1.92,48.25,368.0,22.55,124.2,117.9,845.0,45.7,50.9,189.4,40.05,102.8,28.75,13.85,14.7,806.1
2020-01-31,32.6,142.05,203.26,26.3,31.45,1.92,48.35,362.0,22.0,122.2,116.85,825.0,45.0,50.65,190.5,39.5,104.3,29.3,13.85,14.65,787.2
2020-02-03,32.6,142.05,216.07,26.55,32.8,1.93,47.85,367.5,23.0,127.55,118.55,835.0,48.3,53.45,194.5,40.6,108.0,29.8,13.85,15.05,815.65
2020-02-04,32.1,142.05,212.17,26.3,32.0,1.94,46.8,380.0,22.8,126.3,122.65,839.5,46.9,53.6,196.0,39.45,106.35,29.3,13.85,15.0,812.95
2020-02-05,31.75,142.05,211.21,26.06,31.35,1.94,44.85,375.0,22.25,124.75,121.55,824.0,46.3,54.1,194.1,38.4,104.85,28.65,13.85,14.95,825.95
2020-02-06,31.9,142.05,212.17,25.86,30.5,1.93,43.15,372.0,22.1,124.8,123.0,833.0,46.95,53.25,200.0,37.85,105.15,28.7,13.85,14.7,828.9
2020-02-07,31.95,142.05,215.53,26.8,30.75,1.92,43.5,375.5,22.45,126.75,117.8,820.0,47.0,53.5,201.6,37.8,104.55,27.85,13.85,14.3,818.5
2020-02-10,30.7,142.05,214.95,27.45,31.25,1.89,44.15,364.5,22.15,126.4,117.35,803.0,46.5,53.0,200.0,37.6,105.4,27.15,13.85,14.3,826.2
2020-02-11,29.4,142.05,206.34,27.1,30.65,1.83,42.3,348.5,21.35,122.8,112.95,794.5,45.4,50.4,193.75,36.25,104.0,25.8,13.85,13.9,795.2
2020-02-12,29.7,142.05,208.62,28.84,30.8,1.86,42.5,352.5,21.4,122.25,112.85,794.0,45.45,50.5,195.95,36.35,104.95,25.9,13.85,13.85,789.4
2020-02-13,28.35,142.05,202.22,28.54,29.8,1.78,41.55,349.0,21.2,115.7,109.65,777.5,44.05,48.25,193.3,33.8,103.2,25.3,13.85,13.45,766.6
2020-02-14,29.4,142.05,201.56,29.74,29.6,1.78,40.35,339.0,21.4,116.7,108.5,784.5,42.75,48.75,187.65,33.35,103.0,24.7,13.85,13.4,776.55
2020-02-17,30.6,142.05,204.88,30.43,29.5,1.82,40.0,333.5,21.15,118.0,113.5,785.0,43.8,49.35,193.1,34.0,102.25,25.0,13.85,13.95,785.2
2020-02-18,29.4,142.05,196.93,29.78,28.9,1.78,40.35,324.0,20.75,112.65,108.45,782.0,42.25,47.55,190.6,35.65,101.55,25.9,13.85,13.95,769.65
2020-02-19,29.4,142.05,203.33,29.34,28.9,1.81,41.0,326.0,20.85,114.45,109.4,796.0,42.1,47.65,193.95,36.35,100.5,25.85,13.85,14.0,773.75
2020-02-20,28.75,142.05,213.06,30.18,28.9,1.83,42.25,325.5,21.05,115.45,107.05,797.0,42.9,49.9,194.3,36.6,103.45,25.9,13.85,14.4,784.15
2020-02-21,28.85,142.05,209.82,30.33,28.6,1.89,41.45,320.5,21.3,115.6,104.2,782.5,42.35,50.1,192.95,35.95,103.9,25.2,13.85,14.4,767.5
2020-02-26,27.7,142.05,199.82,28.79,26.2,1.76,40.45,316.0,19.9,108.1,100.05,757.0,39.3,46.75,192.15,34.05,93.35,22.85,13.85,13.95,701.55
2020-02-27,25.75,142.05,186.98,27.9,25.25,1.74,39.6,311.5,19.25,107.25,97.5,739.5,39.35,45.2,194.0,32.9,90.0,21.5,13.85,13.9,679.2
2020-02-28,26.4,142.05,180.03,28.39,26.2,1.68,39.85,317.5,19.15,102.7,95.5,714.0,39.45,44.75,193.75,32.5,93.15,22.75,13.85,13.55,659.25
2020-03-02,27.15,142.05,188.67,29.64,27.6,1.74,41.4,339.5,19.55,106.35,98.0,763.0,43.2,45.95,186.0,35.6,93.7,23.85,13.85,14.5,664.9
